OTU_ID	1A	1B	1C	1D	1E	2A	2B	2C	2D	2E	3A	3B	3C	3D	3E
OTU_1	845	2162	646	10542	2	13029	23283	5689	3149	12	17	2	2	0	1
OTU_2	0	70	0	1141	0	762	372	5109	495	7	9	0	0	0	0
OTU_3	0	0	0	2	0	0	0	0	3270	0	15	0	0	0	0
OTU_4	0	6	0	4	0	225	0	3238	0	0	0	0	0	0	0
OTU_5	0	102	0	203	3	421	515	59	1586	33	0	0	0	0	5
OTU_6	0	33	0	410	0	477	515	753	59	0	0	0	0	0	0
OTU_7	0	21	0	466	0	520	392	1052	96	0	0	0	0	0	0
OTU_8	6	0	0	1337	0	29	0	441	0	0	0	0	0	0	0
OTU_9	0	0	0	1695	0	1	0	0	0	0	0	0	0	0	0
OTU_10	0	1060	0	26	0	0	0	4	0	1	0	0	0	0	0
OTU_11	5	20	3	777	0	282	5	53	0	0	0	0	0	0	0
OTU_12	22	76	0	110	0	345	6	285	17	0	0	0	0	0	0
OTU_13	0	0	0	0	0	0	1	3	595	0	0	0	0	0	2
OTU_14	33	6	20	17	8	1	0	34	316	7	36	21	6	0	0
OTU_15	10	101	0	190	0	134	1	58	70	0	2	0	0	0	0
OTU_16	21	32	0	64	0	20	32	73	236	0	12	3	3	0	0
OTU_17	2	20	0	0	4	1	0	344	0	0	0	0	0	0	0
OTU_18	98	7	29	13	4	37	8	67	35	9	14	22	51	12	0
OTU_19	0	19	0	19	0	270	0	27	25	0	0	0	0	0	0
OTU_20	8	5	9	36	0	78	36	94	26	0	0	0	0	0	0
OTU_21	0	11	6	92	0	37	6	11	141	5	0	2	0	0	0
OTU_22	1	2	0	0	0	96	0	444	0	0	0	0	0	0	0
OTU_23	0	8	1	241	0	87	1	22	23	0	0	0	0	0	0
OTU_24	0	0	0	237	0	8	0	60	0	1	0	0	0	0	0
OTU_25	2	19	0	15	0	7	119	48	18	0	0	0	0	0	0
OTU_26	35	10	5	67	0	73	6	39	0	0	9	0	8	0	0
OTU_27	0	0	0	0	0	111	0	453	1	0	0	0	0	0	0
OTU_28	31	19	30	9	0	3	2	22	23	19	12	11	98	0	8
OTU_29	0	0	0	66	0	13	0	371	0	0	0	0	0	0	0
OTU_30	0	2	0	7	0	204	0	4	3	0	0	0	0	0	0
OTU_31	3	0	0	168	0	35	0	44	0	0	0	0	0	0	0
OTU_32	1	0	0	0	0	5	0	185	2	0	0	0	0	0	0
OTU_33	0	7	0	7	0	1	96	33	4	0	0	0	0	0	0
OTU_34	4	5	32	15	0	25	12	55	69	0	3	0	0	0	0
OTU_35	0	1	0	12	0	142	0	7	2	0	0	0	0	0	0
OTU_36	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0
OTU_37	0	1	0	121	0	1	0	0	70	0	0	0	0	0	0
OTU_38	0	8	4	18	0	59	45	32	14	0	0	0	0	0	0
OTU_39	3	16	5	12	0	16	1	48	0	0	11	5	61	3	0
OTU_40	0	1	0	1	0	1	122	6	0	0	0	0	0	0	0
OTU_41	1	7	0	5	0	4	122	13	0	10	0	0	0	0	0
OTU_42	0	5	0	28	0	52	0	17	44	0	0	0	0	0	0
OTU_43	0	2	0	11	0	37	30	38	6	0	0	0	0	0	0
OTU_44	1	10	0	12	0	13	0	9	117	7	0	0	1	0	0
OTU_45	1	31	0	55	0	78	99	10	9	0	0	0	0	0	0
OTU_46	36	2	19	22	0	15	3	32	24	0	0	0	6	3	0
OTU_47	1	0	0	167	0	11	0	51	0	0	0	0	0	0	0
OTU_48	1	0	0	112	0	29	0	43	1	0	0	0	0	0	0
OTU_49	11	2	6	38	0	17	1	57	9	0	0	2	1	0	0
OTU_50	3	150	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU_51	10	29	1	31	0	23	0	0	40	0	0	2	1	0	0
OTU_52	0	14	0	35	0	207	4	27	3	0	1	0	0	0	0
OTU_53	0	0	0	2	0	5	0	107	0	5	0	0	0	0	0
OTU_54	0	14	0	9	0	1	81	0	0	0	0	0	0	0	0
OTU_55	0	1	0	1	0	0	0	0	98	0	0	0	0	0	0
OTU_56	0	2	0	7	0	116	1	7	2	0	0	0	0	0	0
OTU_57	2	5	2	38	0	17	1	59	0	0	1	0	0	0	0
OTU_58	0	0	0	93	0	0	0	19	0	2	0	0	0	0	0
OTU_59	2	21	0	64	0	68	2	21	12	0	0	0	0	0	0
OTU_60	0	3	0	21	1	47	0	7	29	2	0	0	0	0	0
OTU_61	0	0	0	86	0	4	0	0	20	0	0	0	0	0	0
OTU_62	13	2	9	8	0	12	2	9	45	0	0	0	4	3	0
OTU_63	2	0	0	1	0	2	0	5	100	0	0	0	0	0	0
OTU_64	0	20	0	15	0	83	0	2	0	0	0	0	0	0	0
OTU_65	0	0	1	4	0	4	0	0	89	0	0	0	0	0	0
OTU_66	0	0	0	0	0	0	0	3	89	0	0	0	0	0	0
OTU_67	1	0	76	0	0	0	0	0	0	0	0	0	0	0	0
OTU_68	0	0	1	7	0	35	33	12	1	0	0	0	0	0	0
OTU_69	0	0	0	7	0	80	0	0	0	0	0	0	0	0	0
OTU_70	0	40	27	0	0	19	0	4	0	1	0	0	0	0	0
OTU_71	14	4	4	6	0	23	5	24	4	0	0	0	0	0	0
OTU_72	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0
OTU_73	0	0	0	1	0	0	0	95	0	0	0	0	0	0	0
OTU_74	2	1	0	3	0	0	63	0	0	0	0	0	0	0	0
OTU_75	14	2	9	7	0	25	9	21	8	0	0	0	2	0	0
OTU_76	1	1	0	1	0	10	1	53	0	0	0	0	0	0	0
OTU_77	0	4	0	2	0	51	0	3	0	0	0	0	0	0	0
